117,137,-2147460752,-2147460571,52,229
48,63,-2147460571,-2147460430,53,230
66,80,-2147460430,-2147460343,53,231
83,94,-2147460343,-2147460265,53,232
117,135,-2147460265,-2147460123,53,233
159,172,-2147460123,-2147460021,53,234
55,61,-2147460021,-2147459966,55,235
65,112,-2147459966,-2147459697,55,236
46,57,-2147459697,-2147459634,60,237
60,78,-2147459634,-2147459576,62,238
81,100,-2147459576,-2147459514,62,239
103,121,-2147459514,-2147459459,62,240
124,143,-2147459459,-2147459394,62,241
145,165,-2147459394,-2147459314,62,242
182,195,-2147459314,-2147459260,62,243
197,217,-2147459260,-2147459176,62,244
219,242,-2147459176,-2147459093,62,245
267,285,-2147459093,-2147459022,62,246
287,301,-2147459022,-2147458956,62,247
303,315,-2147458956,-2147458896,62,248
317,367,-2147458896,-2147458693,62,249
401,413,-2147458693,-2147458637,62,250
209,213,-2147458637,-2147458518,63,251
57,65,-2147458518,-2147458465,70,252
112,147,-2147458465,-2147458251,71,253
178,188,-2147458251,-2147458200,71,254
270,283,-2147458200,-2147458122,71,255
290,300,-2147458122,-2147458066,71,256
303,320,-2147458066,-2147457956,71,257
336,350,-2147457956,-2147457884,71,258
352,372,-2147457884,-2147457781,71,259
124,168,-2147457781,-2147457294,74,260
56,63,-2147457294,-2147457229,75,261
39,87,-2147457229,-2147457061,76,262
94,107,-2147457061,-2147456977,76,263
110,119,-2147456977,-2147456904,76,264
27,35,-2147456904,-2147456847,77,265
38,47,-2147456847,-2147456769,77,266
50,60,-2147456769,-2147456674,77,267
63,74,-2147456674,-2147456560,77,268
77,85,-2147456560,-2147456502,77,269
57,73,-2147456502,-2147456376,78,270
82,119,-2147456376,-2147456011,78,271
122,139,-2147456011,-2147455891,78,272
142,155,-2147455891,-2147455788,78,273
158,171,-2147455788,-2147455679,78,274
174,193,-2147455679,-2147455462,78,275
196,240,-2147455462,-2147455153,78,276
252,273,-2147455153,-2147454936,78,277
276,291,-2147454936,-2147454851,78,278
294,316,-2147454851,-2147454630,78,279
319,329,-2147454630,-2147454545,78,280
332,339,-2147454545,-2147454483,78,281
342,350,-2147454483,-2147454410,78,282
353,361,-2147454410,-2147454342,78,283
374,383,-2147454342,-2147454263,78,284
395,405,-2147454263,-2147454182,78,285
410,418,-2147454182,-2147454131,78,286
52,74,-2147454131,-2147454032,79,287
77,87,-2147454032,-2147453979,79,288
103,115,-2147453979,-2147453909,79,289
32,48,-2147453909,-2147453827,80,290
40,47,-2147453827,-2147453774,81,291
50,63,-2147453774,-2147453700,81,292
43,50,-2147453700,-2147453632,82,293
53,63,-2147453632,-2147453550,82,294
66,76,-2147453550,-2147453469,82,295
79,94,-2147453469,-2147453358,82,296
97,112,-2147453358,-2147453247,82,297
115,127,-2147453247,-2147453167,82,298
130,143,-2147453167,-2147453063,82,299
164,178,-2147453063,-2147453011,82,300
189,196,-2147453011,-2147452957,82,301
233,240,-2147452957,-2147452903,82,302
251,258,-2147452903,-2147452849,82,303
58,63,-2147452849,-2147452795,83,304
66,73,-2147452795,-2147452738,83,305
76,85,-2147452738,-2147452655,83,306
88,99,-2147452655,-2147452558,83,307
102,110,-2147452558,-2147452489,83,308
113,124,-2147452489,-2147452395,83,309
133,145,-2147452395,-2147452323,83,310
29,37,-2147452323,-2147452257,84,311
47,55,-2147452257,-2147452191,84,312
65,75,-2147452191,-2147452139,84,313
32,38,-2147452139,-2147452086,85,314
41,55,-2147452086,-2147452008,85,315
58,68,-2147452008,-2147451937,85,316
71,78,-2147451937,-2147451867,85,317
81,87,-2147451867,-2147451814,85,318
90,113,-2147451814,-2147451646,85,319
116,128,-2147451646,-2147451530,85,320
131,138,-2147451530,-2147451445,85,321
141,150,-2147451445,-2147451372,85,322
153,167,-2147451372,-2147451279,85,323
170,181,-2147451279,-2147451178,85,324
184,200,-2147451178,-2147451005,85,325
29,35,-2147451005,-2147450942,86,326
38,45,-2147450942,-2147450889,86,327
76,90,-2147450889,-2147450835,88,328
107,121,-2147450835,-2147450781,88,329
203,212,-2147450781,-2147450723,88,330
215,233,-2147450723,-2147450628,88,331
256,268,-2147450628,-2147450540,88,332
282,298,-2147450540,-2147450450,88,333
301,311,-2147450450,-2147450387,88,334
314,322,-2147450387,-2147450324,88,335
325,333,-2147450324,-2147450261,88,336
336,348,-2147450261,-2147450162,88,337
351,360,-2147450162,-2147450098,88,338
363,375,-2147450098,-2147450034,88,339
378,389,-2147450034,-2147449979,88,340
392,403,-2147449979,-2147449924,88,341
